,tripduration,start station latitude,start station longitude,end station latitude,end station longitude
0,695,40.742354299999995,-73.98915076,40.74317449,-74.00366443
1,693,40.742354299999995,-73.98915076,40.74317449,-74.00366443
2,2059,40.69512845,-73.99595065,40.69512845,-73.99595065
3,123,40.73524276,-73.98758561,40.6917823,-73.97372990000001
4,1521,40.70569254,-74.01677685,40.68926942,-73.98912867
5,2028,40.75038009,-73.98338988,40.69512845,-73.99595065
6,2057,40.73454567,-73.99074142,40.710451,-73.960876
7,369,40.7454973,-74.00197139,40.750967348715974,-73.99444207549095
8,1829,40.72229346,-73.99147535,40.68216564,-73.95399026
9,829,40.7405826,-74.00550867,40.72362738,-73.99949601
10,1316,40.76584941,-73.98690506,40.69383,-73.990539
11,1456,40.714215,-73.981346,40.710451,-73.960876
12,386,40.68981035,-73.97493121,40.68223166,-73.9614583
13,924,40.7462009,-73.98855723,40.750967348715974,-73.99444207549095
14,1233,40.744023,-73.976056,40.71413089,-73.99704679999999
15,512,40.7149787,-74.013012,40.728145,-73.990214
16,505,40.7149787,-74.013012,40.728846000000004,-74.00859100000001
17,833,40.73827428,-73.98751968,40.73827428,-73.98751968
18,1818,40.71939226,-74.00247214,40.76228826,-73.98336183
19,682,40.7462009,-73.98855723,40.750967348715974,-73.99444207549095
20,899,40.74734825,-73.99723551,40.74734825,-73.99723551
21,626,40.73401143,-74.00293877,40.73492695,-73.99200509
22,219,40.76095756,-73.96724467,40.73291553,-74.00711384
23,339,40.76669671,-73.99061728,40.72621788,-73.98379855
24,97,40.74475148,-73.99915362,40.74475148,-73.99915362
25,511,40.73781509,-73.99994661,40.73649403,-73.99704374
26,198,40.74394314,-73.97966069,40.73587678,-73.98205027
27,482,40.72210378668603,-73.99724900722505,40.72019576,-73.98997825
28,395,40.722055,-73.989111,40.72066442,-73.98517977
29,424,40.74734825,-73.99723551,40.751872999999996,-73.97770600000001
30,1077,40.73935542,-73.99931783,40.76669671,-73.99061728
31,689,40.726280700000004,-73.98978041,40.72453734,-73.98185424
32,435,40.71893904,-73.99266288,40.71406667,-73.99293911
33,1997,40.71893904,-73.99266288,40.71893904,-73.99266288
34,226,40.73291553,-74.00711384,40.73291553,-74.00711384
35,1679,40.71602118,-73.99974372,40.72362738,-73.99949601
36,351,40.68382604,-73.97632328,40.68764484,-73.96968902
37,1221,40.71602118,-73.99974372,40.72362738,-73.99949601
38,624,40.685226719472546,-73.97800147533417,40.75038009,-73.98338988
39,277,40.72740794,-73.98142006,40.7284186,-73.98713956
40,846,40.75640548,-73.9900262,40.73781509,-73.99994661
41,200,40.73020660529954,-73.99102628231049,40.73524276,-73.98758561
42,722,40.74475148,-73.99915362,40.73401143,-74.00293877
43,141,40.76584941,-73.98690506,40.76669671,-73.99061728
44,808,40.7568001,-73.98291153,40.76695317,-73.98169333
45,1505,40.72110063,-73.99192540000001,40.74901271,-73.98848395
46,2577,40.69512845,-73.99595065,40.711512,-74.01575600000001
47,1503,40.72110063,-73.99192540000001,40.74901271,-73.98848395
48,553,40.75066386,-74.00176802,40.75660359,-73.9979009
49,790,40.7568001,-73.98291153,40.76695317,-73.98169333
