,Dataset,Model,epsilon,RMSE (test),NLL (test),run-time (s)
0,energy,SVGP,inf,0.114 ± 0.011,-0.538 ± 0.080,23.4115394115448
1,energy,Local-DP,2.0,0.389 ± 0.024,0.879 ± 0.018,22.945720434188843
2,energy,DP-SVGP,2.0,0.284 ± 0.053,0.956 ± 0.108,322.1745843410492
3,bike,SVGP,inf,0.027 ± 0.002,-2.130 ± 0.049,538.5387061119079
4,bike,Local-DP,2.0,0.216 ± 0.004,0.662 ± 0.006,538.7099592208863
5,bike,DP-SVGP,2.0,0.142 ± 0.017,-0.474 ± 0.153,7926.270344495773
6,energy,SVGP,inf,0.113 ± 0.011,-0.549 ± 0.029,22.45229229927063
7,energy,Local-DP,2.0,0.369 ± 0.023,0.850 ± 0.034,22.339276599884034
8,energy,DP-SVGP,2.0,0.234 ± 0.042,0.754 ± 0.088,308.8695734977722
9,elevators,SVGP,inf,0.060 ± 0.001,-1.385 ± 0.017,480.8130479335785
10,elevators,Local-DP,2.0,0.136 ± 0.005,0.617 ± 0.012,478.35156736373904
11,elevators,DP-SVGP,2.0,0.115 ± 0.005,-0.690 ± 0.090,7555.792688322067
12,parkinsons,SVGP,inf,0.199 ± 0.008,-0.188 ± 0.040,168.32951884269715
13,parkinsons,Local-DP,2.0,0.225 ± 0.003,0.684 ± 0.011,166.35590872764587
14,parkinsons,DP-SVGP,2.0,0.215 ± 0.004,-0.011 ± 0.169,2636.324676322937
